alias,model_id,n_outputs,n_valid,c_unc_scope_accuracy_valid_only_pct,c_unc_scope_accuracy_end_to_end_pct,c_comp_scope_accuracy_valid_only_pct,c_comp_scope_accuracy_end_to_end_pct,delta_comp_minus_unc_valid_only_pp,delta_comp_minus_unc_end_to_end_pp,uncertainty_high_recall_valid_only_pct,uncertainty_high_false_positive_rate_valid_only_pct,compatibility_band_accuracy_valid_only_pct,c_unc_uncertain_scope_recall_valid_only_pct,c_comp_uncertain_scope_recall_valid_only_pct,c_unc_critical_out_to_in_valid_only_pct,c_comp_critical_out_to_in_valid_only_pct,c_unc_in_to_out_valid_only_pct,c_comp_in_to_out_valid_only_pct,invalid_json_rate_pct,invalid_json_first_rate_pct,c_unc_stability_valid_only_pct,c_unc_stability_end_to_end_pct,c_comp_stability_valid_only_pct,c_comp_stability_end_to_end_pct,latency_mean_seconds,recorded_cost_usd,cost_attempts_recorded,total_attempts,judge_max_tokens
hermes3-70b,nousresearch/hermes-3-llama-3.1-70b,220,220,100.0,100.0,99.1,99.1,-0.9,-0.9,2.5,0.0,99.1,100.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,90.9,90.9,2.8549549031824095,0.1733942,220,220,1024
llama33-70b,meta-llama/llama-3.3-70b-instruct,220,220,96.8,96.8,72.7,72.7,-24.1,-24.1,91.2,0.0,72.7,91.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,90.9,100.0,100.0,1.7970667431826852,0.0356681,220,220,1024
qwen3-8b,qwen/qwen3-8b,220,220,100.0,100.0,64.1,64.1,-35.9,-35.9,100.0,0.0,64.1,100.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,90.9,90.9,8.53024375772736,0.06122916,220,220,1024
claude3-haiku,anthropic/claude-3-haiku,220,220,89.5,89.5,72.7,72.7,-16.8,-16.8,96.2,0.0,72.7,96.2,50.0,22.5,22.5,0.0,0.0,0.0,0.0,81.8,81.8,90.9,90.9,1.0485094613628463,0.08397375,220,220,1024
gpt4o-mini,openai/gpt-4o-mini,220,220,45.9,45.9,45.9,45.9,0.0,0.0,0.0,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,90.9,90.9,90.9,1.100913314092428,0.0306192,220,220,1024
dolphin-24b,cognitivecomputations/dolphin-mistral-24b-venice-edition,220,220,63.6,63.6,63.6,63.6,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,1.2619177081823265,0.0615781,220,220,1024
wizardlm2,microsoft/wizardlm-2-8x22b,220,120,96.7,52.7,96.7,52.7,0.0,0.0,0.0,0.0,96.7,85.0,85.0,1.7,1.7,0.0,0.0,45.5,54.5,75.0,27.3,75.0,27.3,1.9702540340910095,0.12238862,172,340,1024
ministral-8b,mistralai/ministral-8b-2512,220,220,63.6,63.6,63.6,63.6,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,1.3634242481839134,0.0092937,220,220,1024
safeguard-20b,openai/gpt-oss-safeguard-20b,220,68,94.1,29.1,83.8,25.9,-10.3,-3.2,100.0,0.0,83.8,100.0,46.2,12.5,12.5,0.0,0.0,69.1,82.7,,0.0,,0.0,0.7081432204549359,0.0154623,76,402,1024
llama-guard-4,meta-llama/llama-guard-4-12b,220,0,,0.0,,0.0,,0.0,,,,,,,,,,100.0,100.0,,0.0,,0.0,0.7522330386361732,0.1005984,440,440,1024
